id,name,score1,score2
1,Student_1,94,61
2,Student_2,89,66
3,Student_3,81,83
4,Student_4,79,72
5,Student_5,99,50
6,Student_6,57,76
7,Student_7,91,93
8,Student_8,63,96
9,Student_9,69,60
10,Student_10,74,86
11,Student_11,92,72
12,Student_12,61,72
13,Student_13,54,58
14,Student_14,77,79
15,Student_15,83,52
16,Student_16,87,85
17,Student_17,69,50
18,Student_18,61,62
19,Student_19,55,61
20,Student_20,64,81
21,Student_21,80,50
22,Student_22,59,71
23,Student_23,62,76
24,Student_24,83,85
25,Student_25,50,76
26,Student_26,91,83
27,Student_27,93,71
28,Student_28,50,52
29,Student_29,62,60
30,Student_30,65,64
31,Student_31,88,70
32,Student_32,70,58
33,Student_33,84,98
34,Student_34,91,68
35,Student_35,68,91
36,Student_36,76,51
37,Student_37,97,82
38,Student_38,82,53
39,Student_39,92,89
40,Student_40,99,58
41,Student_41,58,62
42,Student_42,58,100
43,Student_43,77,81
44,Student_44,63,80
45,Student_45,53,86
46,Student_46,72,78
47,Student_47,52,57
48,Student_48,86,90
49,Student_49,81,80
50,Student_50,65,86
51,Student_51,92,54
52,Student_52,79,59
53,Student_53,51,96
54,Student_54,73,68
55,Student_55,75,73
56,Student_56,94,50
57,Student_57,94,84
58,Student_58,83,78
59,Student_59,54,69
60,Student_60,96,84
61,Student_61,71,100
62,Student_62,72,100
63,Student_63,99,68
64,Student_64,81,52
65,Student_65,59,75
66,Student_66,98,88
67,Student_67,70,99
68,Student_68,94,94
69,Student_69,92,83
70,Student_70,66,82
71,Student_71,75,90
72,Student_72,62,96
73,Student_73,85,96
74,Student_74,95,66
75,Student_75,98,57
76,Student_76,51,78
77,Student_77,52,66
78,Student_78,100,98
79,Student_79,64,100
80,Student_80,51,66
81,Student_81,61,85
82,Student_82,99,74
83,Student_83,100,99
84,Student_84,82,98
85,Student_85,97,68
86,Student_86,94,90
87,Student_87,82,56
88,Student_88,87,93
89,Student_89,51,84
90,Student_90,91,65
91,Student_91,97,85
92,Student_92,98,65
93,Student_93,61,93
94,Student_94,75,61
95,Student_95,86,88
96,Student_96,56,77
97,Student_97,73,63
98,Student_98,56,89
99,Student_99,71,78
100,Student_100,72,68
101,Student_101,59,64
102,Student_102,99,59
103,Student_103,54,74
104,Student_104,63,98
105,Student_105,100,50
106,Student_106,53,57
107,Student_107,72,70
108,Student_108,71,56
109,Student_109,50,97
110,Student_110,69,91
111,Student_111,86,78
112,Student_112,51,75
113,Student_113,83,62
114,Student_114,53,95
115,Student_115,61,74
116,Student_116,76,84
117,Student_117,94,53
118,Student_118,61,98
119,Student_119,73,65
120,Student_120,83,51
121,Student_121,69,56
122,Student_122,54,66
123,Student_123,73,91
124,Student_124,97,75
125,Student_125,85,56
126,Student_126,93,98
127,Student_127,62,87
128,Student_128,92,82
129,Student_129,88,65
130,Student_130,61,51
131,Student_131,81,61
132,Student_132,99,74
133,Student_133,69,100
134,Student_134,93,79
135,Student_135,100,86
136,Student_136,71,51
137,Student_137,69,59
138,Student_138,59,61
139,Student_139,58,69
140,Student_140,94,50
141,Student_141,66,75
142,Student_142,82,64
143,Student_143,66,93
144,Student_144,59,70
145,Student_145,62,78
146,Student_146,65,50
147,Student_147,57,70
148,Student_148,67,61
149,Student_149,85,71
150,Student_150,55,64
151,Student_151,84,74
152,Student_152,100,75
153,Student_153,100,90
154,Student_154,73,64
155,Student_155,93,88
156,Student_156,100,78
157,Student_157,71,96
158,Student_158,57,91
159,Student_159,54,80
160,Student_160,65,81
161,Student_161,92,84
162,Student_162,89,93
163,Student_163,94,53
164,Student_164,79,70
165,Student_165,68,54
166,Student_166,84,95
167,Student_167,90,69
168,Student_168,76,82
169,Student_169,78,61
170,Student_170,78,84
171,Student_171,51,65
172,Student_172,52,83
173,Student_173,57,90
174,Student_174,75,65
175,Student_175,54,57
176,Student_176,100,84
177,Student_177,96,66
178,Student_178,81,73
179,Student_179,99,58
180,Student_180,78,61
181,Student_181,61,83
182,Student_182,82,84
183,Student_183,54,90
184,Student_184,51,70
185,Student_185,97,51
186,Student_186,58,76
187,Student_187,99,54
188,Student_188,64,89
189,Student_189,78,65
190,Student_190,80,83
191,Student_191,89,99
192,Student_192,90,82
193,Student_193,74,82
194,Student_194,77,79
195,Student_195,74,66
196,Student_196,94,76
197,Student_197,70,97
198,Student_198,75,97
199,Student_199,56,100
200,Student_200,81,57
201,Student_201,69,88
202,Student_202,73,99
203,Student_203,77,96
204,Student_204,81,97
205,Student_205,83,72
206,Student_206,81,78
207,Student_207,65,78
208,Student_208,51,57
209,Student_209,53,88
210,Student_210,60,95
211,Student_211,73,100
212,Student_212,58,66
213,Student_213,69,58
214,Student_214,77,67
215,Student_215,74,95
216,Student_216,55,83
217,Student_217,62,92
218,Student_218,54,68
219,Student_219,53,87
220,Student_220,51,95
221,Student_221,83,68
222,Student_222,95,97
223,Student_223,98,96
224,Student_224,65,98
225,Student_225,79,79
226,Student_226,88,50
227,Student_227,55,51
228,Student_228,81,65
229,Student_229,93,79
230,Student_230,75,90
231,Student_231,67,57
232,Student_232,88,96
233,Student_233,79,62
234,Student_234,71,50
235,Student_235,96,57
236,Student_236,71,70
237,Student_237,70,78
238,Student_238,88,61
239,Student_239,72,56
240,Student_240,97,56
241,Student_241,79,54
242,Student_242,51,77
243,Student_243,78,75
244,Student_244,77,94
245,Student_245,52,64
246,Student_246,79,68
247,Student_247,70,54
248,Student_248,67,99
249,Student_249,65,72
250,Student_250,80,99
251,Student_251,82,80
252,Student_252,75,69
253,Student_253,77,80
254,Student_254,83,84
255,Student_255,70,60
256,Student_256,58,64
257,Student_257,50,51
258,Student_258,52,68
259,Student_259,50,61
260,Student_260,99,87
261,Student_261,78,83
262,Student_262,53,94
263,Student_263,74,55
264,Student_264,96,75
265,Student_265,79,50
266,Student_266,62,59
267,Student_267,90,91
268,Student_268,71,67
269,Student_269,75,76
270,Student_270,54,68
271,Student_271,58,76
272,Student_272,76,92
273,Student_273,96,58
274,Student_274,97,71
275,Student_275,54,77
276,Student_276,60,74
277,Student_277,81,52
278,Student_278,79,61
279,Student_279,86,73
280,Student_280,91,89
281,Student_281,53,71
282,Student_282,94,82
283,Student_283,55,57
284,Student_284,100,75
285,Student_285,95,52
286,Student_286,57,85
287,Student_287,92,72
288,Student_288,53,79
289,Student_289,78,94
290,Student_290,95,96
291,Student_291,90,92
292,Student_292,74,75
293,Student_293,86,73
294,Student_294,78,77
295,Student_295,53,90
296,Student_296,70,50
297,Student_297,82,54
298,Student_298,67,97
299,Student_299,52,85
300,Student_300,66,68
301,Student_301,61,100
302,Student_302,54,78
303,Student_303,77,81
304,Student_304,74,53
305,Student_305,89,93
306,Student_306,77,67
307,Student_307,60,71
